name,price,url
2.5kg Bulk 41% Milk Hot Chocolate Drops,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£50.00",/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£50.00",/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£8.75",/products/41-colombian-milk-hot-chocolate-drops
500g Foil Wrapped Praline Milk Chocolate Mini Eggs,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£10.00",/products/pre-order-ecuadorian-foil-wrapped-solid-chocolate-mini-eggs
61% Dark Hot Chocolate Drops,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£8.75",/products/62-dark-hot-chocolate
Almost Perfect,"<span class=""price"">
              <span class=""visually-hidden"">Sale priceFrom £1.50
",/products/almost-perfect
Assorted Chocolate Malt Balls,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£9.00",/products/assorted-chocolate-malt-balls
Blonde Caramel,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb - Bag,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£8.50",/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£9.00",/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£19.99",/products/blonde-chocolate-truffles
Bulk 41% Milk Hot Chocolate Drops 750 grams,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£17.50",/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£17.50",/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Almonds,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£6.25",/products/cocoa-dusted-almonds
Caramelised Milk,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/caramelised-milk-chocolate-bar
Chai Caramel Latte,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/chai-caramel-latte
Chocolate Caramelised Pecan Nuts,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£6.25",/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£55.00",/products/celebration-hamper
Christmas Cracker,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/christmas-cracker-chocolate-bar
Cinnamon Toast,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£30.00",/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/colombian-dark-chocolate-bar
Colombian 41%,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/ecuadorian-41-milk-chocolate-bar
Crunchy Biscuit,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£8.95",/products/dark-chocolate-ginger
Dark Chocolate Honeycomb - Bag,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£8.50",/products/dark-chocolate-honeycomb
Dark Chocolate Honeycomb Egg & Honeycomb (Large),"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£15.00",/products/hokey-pokey-large-wicked-egg-honeycomb
Dark Chocolate Malt Balls,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£9.00",/products/dark-chocolate-malt-balls
Dark Chocolate Orange Peel,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£10.00",/products/dark-chocolate-orange-peel
Dark Chocolate Truffles,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£19.99",/products/dark-chocolate-truffles
Flat White Coffee,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/flat-white-coffee
Flat White Coffee Easter Egg & Truffles,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£19.95",/products/flat-white-coffee-easter-egg-truffles
Gift Voucher,"<span class=""price"">
              <span class=""visually-hidden"">Sale priceFrom £10.00
",/products/gift-voucher
Ginger Biscuit,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/ginger-biscuit-chocolate-bar
Hokey Pokey Blondie Egg & Honeycomb (Large),"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£15.00",/products/hokey-pokey-large-blondie-egg-honeycomb
Hokey Pokey Blondie Egg (Small),"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£5.95",/products/hokey-pokey-small-blondie-egg
Hokey Pokey Milkey Egg (Small),"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£5.95",/products/hokey-pokey-small-milkey-egg
Hokey Pokey Wicked Egg (Small),"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£5.95",/products/hokey-pokey-small-wicked-egg
Honeycomb Crunch,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/honeycomb-crunch
Hot Chocolate Shaker,"<span class=""price"">
              <span class=""visually-hidden"">Sale priceFrom £8.50
",/products/hot-chocolate-shaker-new
Luxury Hot Chocolate Hamper,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£55.00",/products/luxury-hot-chocolate-hamper
Marc De Champagne Truffles,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£19.99",/products/marc-de-champagne-truffles
Marmalade,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/marmalade-orange-chocolate-bar
Milk Chocolate Honeycomb - Bag,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£8.50",/products/milk-chocolate-honeycomb
Milk Chocolate Honeycomb Egg & Honeycomb (Large),"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£15.00",/products/hokey-pokey-large-milkey-egg-honeycomb
Milk Chocolate Malt Balls,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£9.00",/products/milk-chocolate-malt-balls
Milk Chocolate Truffles,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£19.99",/products/milk-chocolate-truffles
Orange Malt Balls,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£7.50",/products/orange-malt-balls
Peppermint Malt Balls,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£9.00",/products/peppermint-malt-balls
Peppermint Swirl,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/peppermint-swirl-chocolate-bar
Pistachio & Cranberry,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/pistachio-cranberry-chocolate-bar
Praline Quail Eggs,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£7.50",/products/praline-quail-eggs
Pretzel Caramel,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/pretzel-caramel-chocolate-bar
Pretzel Caramel Easter Egg & Truffles,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£19.95",/products/copy-of-flat-white-coffee-easter-egg-truffles
Raspberry Pavlova White Chocolate Easter Egg,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£19.95",/products/raspberry-pavlova-white-chocolate-easter-egg
Salt Caramel Malt Balls,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£9.00",/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£6.25",/products/salt-caramelised-hazelnuts
Salted Caramel,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£5.00",/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£10.00",/products/salted-caramel-florentines
Salted Caramel Quail Eggs,"<span class=""price price--highlight"">
              <span class=""visually-hidden"">Sale price£7.50",/products/salted-caramel-quail-eggs
Salted Caramels Blonde Chocolate,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£19.95",/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,"<span class=""price"">
              <span class=""visually-hidden"">Sale price£19.99",/products/salt-caramels-dark-chocolate
